Thumb,Index,Middle,Ring,Pinky,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,Gesture
112,132,126,123,120,0.03436117,0.29260445,-0.03130684,-0.04067798,1.44885408,4.98424948,1
112,132,125,123,120,-0.02565634,0.12278391,0.09514226,0.15792629,1.47397872,4.72343181,1
112,132,126,123,120,0.06612616,0.23671028,0.1516473,0.11844472,1.3339986,4.86939399,1
112,132,125,123,120,-0.02916882,0.15928311,0.05650503,0.01435694,1.44406844,4.69950359,1
112,132,126,122,120,-0.01084286,0.07437284,0.16615534,0.24526432,1.2705888,4.69591435,1
112,132,125,123,120,0.15851953,0.32940908,0.08017606,0.04307081,1.55892392,4.78325238,1
112,132,125,122,120,-0.03329216,0.3005457,-0.04062254,0.05383851,1.48833566,4.66002201,1
112,132,125,123,120,-0.13240504,0.2406809,0.05161811,-0.01914258,1.3124632,4.65523637,1
112,132,125,123,120,0.02886338,0.21991149,0.13271047,0.02273181,1.29451703,4.68395024,1
112,132,125,122,120,0.08063421,0.26206119,0.02168572,0.09930214,1.41535457,4.57627322,1
112,132,126,123,120,-0.16462818,0.21380283,-0.10201449,-0.05742774,1.20358977,4.85742988,1
112,132,125,123,120,-0.10445796,0.24281893,-0.1133155,-0.24287149,1.16171537,4.99621359,1
112,132,126,123,120,0.04902194,0.17730364,-0.06597345,-0.18783657,1.2705888,4.81675189,1
112,132,126,123,120,0.05222898,0.1085813,-0.03680463,-0.31226335,1.32921295,4.78205597,1
112,132,125,123,120,-0.00137445,0.04856379,-0.02351831,-0.18903299,1.37348017,4.70189641,1
112,132,126,122,120,-0.02092213,0.08796459,-0.06230825,-0.08015956,1.47996078,4.59182657,1
112,132,125,123,120,-0.08796459,0.12247848,-0.01191187,-0.21415762,1.355534,4.81076984,1
112,132,126,123,120,0.06856962,0.13286319,0.05070181,-0.30508488,1.47637154,4.76052056,1
112,132,126,123,120,0.03909538,0.08002335,0.03359759,-0.11365907,1.51106747,4.52363113,1
112,132,125,123,120,-0.10094548,0.14935655,-0.03695735,-0.10767702,1.51346029,4.49372084,1
112,132,125,123,120,-0.15409076,0.15256359,-0.0364992,-0.25004996,1.2490534,4.71625334,1
112,132,125,122,120,0.03955352,0.18829921,-0.02474004,-0.29431718,1.33280219,4.73778875,1
112,132,125,122,120,-0.02977968,0.15470162,-0.03298672,-0.39601214,1.33160578,4.88614375,1
112,132,125,123,120,-0.10277808,0.08200866,-0.0448986,-0.40438702,1.27537445,4.99142794,1
112,132,125,123,120,-0.06352998,0.03084869,-0.03680463,-0.22133609,1.25503545,4.86700117,1
112,132,125,123,120,-0.03298672,0.05238169,-0.05131268,-0.24885355,1.29092779,4.80000214,1
112,132,125,123,120,-0.02168572,0.04856379,-0.04627304,-0.37806597,1.33639142,4.88853657,1
112,132,125,123,120,-0.00137445,0.01252274,-0.01847867,-0.3278167,1.2921242,4.75094927,1
112,132,126,123,120,-0.03573562,0.00076358,-0.03634648,-0.20817557,1.29930267,4.58943375,1
112,132,125,123,120,-0.12996158,0.02168572,-0.07345654,-0.23569303,1.32442731,4.59063016,1
112,132,125,123,120,-0.129198,0.02550362,-0.07666359,-0.16510476,1.23948211,4.54516653,1
112,132,126,123,120,-0.02779437,0.06948592,-0.02672535,-0.17108682,1.28494574,4.54157729,1
112,132,126,123,120,0.00305433,0.15271631,-0.04673119,-0.25722843,1.38783711,4.61814762,1
112,132,126,122,120,-0.07452556,0.20463985,-0.1301143,-0.30508488,1.49192489,4.8275196,1
112,132,125,123,120,-0.14248432,0.37843102,-0.14034629,-0.68913291,1.25144622,5.60997259,1
112,132,125,122,119,-0.1853976,-0.14004086,-0.06475172,-1.5876378,1.13898356,6.66281453,1
