Thumb,Index,Middle,Ring,Pinky,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,Gesture
119,137,130,119,129,0.20005837,-0.02428189,0.17440203,-0.71306113,0.96670033,4.61934403,0
118,137,130,119,129,0.11346822,0.205098,-0.01481348,-0.56231331,0.99421779,4.68395024,0
118,137,130,119,129,0.06704246,0.22479841,-0.04077525,-0.79800634,0.99421779,4.9340002,0
119,137,130,119,129,0.07925976,0.03008511,-0.06765333,-0.62811593,1.11266251,4.63370096,0
118,137,130,119,129,0.04413501,0.09208793,-0.05497787,-0.53479585,1.16889384,4.61336197,0
118,137,130,119,129,0.06490443,0.16019941,-0.02977968,-0.63768722,1.08394864,4.69591435,0
118,137,130,119,129,0.08216137,0.11820242,-0.07009679,-0.88295154,1.11625174,4.79043085,0
118,137,130,119,129,0.0299324,0.01878411,-0.05910121,-0.94037928,1.18085795,4.84426935,0
118,136,130,119,129,0.04444045,-0.00977384,0.00229074,-0.8255238,1.17128666,4.80119855,0
118,137,130,119,129,0.12125675,0.04612033,0.06062837,-0.75493553,1.21196465,4.69711076,0
118,137,130,119,129,0.07620544,0.04413501,0.05665775,-0.74656065,1.21675029,4.64925431,0
119,137,130,119,129,-0.05436701,0.04688391,-0.03283401,-0.86141614,1.17607231,4.73539593,0
118,137,130,119,129,-0.01389718,0.01084286,-0.01450805,-0.762114,1.26580316,4.68873588,0
119,137,130,119,129,0.0439823,0.09728029,0.01191187,-0.8147561,1.31605243,4.73539593,0
118,137,130,119,129,0.03390302,0.1151481,-0.00671952,-0.88414795,1.30289191,4.81435907,0
118,137,130,119,129,0.01191187,0.00534507,-0.00610865,-0.70348984,1.30408832,4.65403996,0
118,137,130,119,129,-0.02412918,-0.02275473,-0.00229074,-0.54197432,1.04087783,4.61455838,0
118,137,130,119,129,0.16264287,0.1085813,-0.01817324,-0.76929247,1.17009025,4.65403996,0
118,136,130,119,129,0.1572978,0.03436117,-0.05451972,-0.79082787,1.3339986,4.58225528,0
119,136,130,119,129,0.03787364,0.0233656,-0.0561996,-0.63768722,1.22512517,4.68753947,0
118,137,130,119,129,0.08139779,0.12507466,-0.06795876,-0.73818577,1.36031965,4.78923443,0
118,137,130,119,129,-0.04352415,0.06627888,-0.10201449,-0.88295154,1.31485602,4.82991242,0
118,137,130,119,129,-0.05864306,-0.03970624,-0.08200866,-0.90807618,1.2705888,4.8071806,0
119,137,130,119,129,0.03985896,-0.07910705,-0.03359759,-0.89850489,1.34715912,4.66002201,0
119,137,130,119,129,0.00977384,-0.02443461,-0.00580322,-0.75014989,1.30408832,4.59182657,0
118,137,130,119,129,0.08338311,0.12431108,-0.01069014,-0.73938218,1.30887396,4.74736004,0
118,137,130,119,129,0.07498371,0.06765333,-0.0206167,-0.93679005,1.36869453,4.7856452,0
118,137,130,119,129,0.02046399,-0.06246097,-0.03161228,-0.82911303,1.29810626,4.70907488,0
118,137,130,119,129,0.06123924,-0.00427606,-0.04795292,-0.82193456,1.28374932,4.72702105,0
118,137,130,119,129,0.07757989,0.01282817,0.00870483,-0.85423767,1.26819598,4.76291339,0
118,137,130,119,129,0.11362093,-0.05665775,0.01023199,-0.80398839,1.30169549,4.68753947,0
118,137,130,119,129,0.07223481,-0.05879578,-0.03222314,-0.71545396,1.36510529,4.5954158,0
118,137,130,119,129,-0.01572978,-0.00381791,-0.03619377,-0.68315085,1.27537445,4.7007,0
119,137,130,119,129,0.05650503,-0.0233656,-0.04703662,-0.76689964,1.21316106,4.76291339,0
118,136,130,119,129,0.13942999,-0.20952678,-0.12935071,-0.80757763,1.40099763,4.69591435,0
118,136,130,119,129,0.01343904,-0.19898935,-0.10644327,-0.59461642,1.3339986,4.65403996,0
119,137,130,119,129,0.08796459,-0.06032294,-0.12202033,-0.61734823,1.4081761,4.66002201,0
119,136,130,119,129,0.02474004,-0.0299324,-0.15210544,-0.72143601,1.40219404,4.65045072,0
119,136,130,119,129,0.02840523,-0.07086037,-0.11713341,-0.58743795,1.34835554,4.57268399,0
118,136,130,119,129,0.0983493,0.03680463,-0.10216721,-0.6460621,1.34955195,4.59780863,0
118,136,130,119,129,0.07971791,0.03772093,-0.16584991,-0.74775706,1.44646126,4.67198613,0
118,136,130,119,129,0.01542435,-0.03833179,-0.14401148,-0.6352944,1.39262275,4.70668205,0
119,136,130,119,129,0.02626721,0.021533,-0.19333885,-0.71306113,1.29571344,4.72702105,0
118,136,130,119,129,0.09621128,0.01786781,-0.24373523,-0.71665037,1.30887396,4.65284355,0
118,136,130,119,129,0.11545353,0.01099557,-0.24617869,-0.70588267,1.45124691,4.63609379,0
119,136,130,119,129,0.05253441,0.05849035,-0.236863,-0.58025948,1.39860481,4.6480579,0
118,136,130,119,129,0.06383542,0.08827003,-0.24174992,-0.78006017,1.33758783,4.76291339,0
118,136,130,119,129,0.11362093,0.05574145,-0.25274549,-0.87098743,1.44167562,4.73061028,0
119,136,130,119,129,0.05925393,-0.0346666,-0.23930646,-0.76809605,1.47278231,4.66121842,0
119,136,130,119,129,0.00366519,-0.04703662,-0.19837849,-0.81116686,1.49192489,4.66121842,0
118,136,130,119,129,0.01099557,-0.02092213,-0.17302758,-0.90927259,1.51944235,4.69112871,0
118,136,130,119,129,0.03772093,-0.05085453,-0.08765916,-0.99062856,1.53619211,4.71625334,0
119,136,130,119,129,0.05070181,-0.11071932,-0.0271835,-0.88295154,1.51346029,4.54157729,0
118,136,130,119,129,0.00519235,-0.0870483,-0.02275473,-0.73459654,1.46680025,4.51764907,0
118,136,130,119,129,-0.00244346,-0.01572978,-0.02092213,-0.7728817,1.44406844,4.59182657,0
118,136,130,119,129,0.0140499,0.01603521,-0.01954769,-0.86500537,1.49551412,4.62173685,0
118,136,130,119,129,0.00229074,-0.02779437,0.03268129,-0.72263243,1.52662082,4.64686149,0
118,136,130,119,129,-0.00167988,0.02412918,0.02672535,-0.73698936,1.55054904,4.68753947,0
118,136,130,119,129,-0.04230242,0.03436117,0.03039055,-0.76091759,1.52901364,4.62771891,0
118,136,130,119,129,-0.07467828,-0.03573562,0.07223481,-0.67836521,1.39860481,4.59421939,0
119,136,130,119,129,-0.03405574,0.01481348,0.05696318,-0.68315085,1.31724884,4.67557536,0
118,136,131,119,129,0.00412334,0.03634648,-0.00626137,-0.81116686,1.43090791,4.69711076,0
118,136,131,119,129,-0.0412334,-0.06750061,0.01084286,-0.61854464,1.41774739,4.57507681,0
118,136,130,119,129,-0.00885755,-0.0627664,0.00488692,-0.50488557,1.34835554,4.57268399,0
118,136,130,119,129,0.04642576,0.1067487,-0.04428773,-0.77048888,1.42253304,4.78444879,0
118,136,130,119,129,-0.00320704,-0.0655153,-0.05115996,-0.78604222,1.49551412,4.72702105,0
118,136,130,119,129,-0.0448986,-0.08994991,0.01557706,-0.53718867,1.4715859,4.5631127,0
118,136,130,119,129,-0.00458149,0.02367103,0.00962113,-0.69511497,1.4608182,4.56789834,0
118,137,131,119,129,-0.06826419,0.00549779,0.01725694,-0.57786666,1.48833566,4.57029117,0
119,136,130,119,129,-0.02412918,0.07651087,0.05818491,-0.47377887,1.39381916,4.66241484,0
118,136,130,119,129,0.03940081,0.11468995,0.03115413,-0.87457666,1.35194477,4.67916459,0
118,136,131,119,129,0.09483683,0.06215554,0.00015272,-1.0265209,1.47756796,4.64686149,0
118,136,130,119,129,0.08872818,0.04245513,0.02214386,-0.82313097,1.56251316,4.74018157,0
119,136,130,119,129,0.10552697,0.11163562,0.03573562,-0.89371924,1.51944235,4.84666218,0
118,136,130,119,129,0.04932737,0.01771509,0.0131336,-0.86141614,1.47397872,4.83110883,0
118,136,130,119,129,-0.00763582,-0.07162395,-0.0571159,-0.762114,1.51106747,4.74616363,0
118,136,130,119,129,-0.00610865,-0.09147707,-0.04612033,-0.6460621,1.57328086,4.46500697,0
118,136,130,119,129,0.05849035,-0.01145372,0.06704246,-0.48095734,1.56131675,4.46979262,0
118,136,130,119,129,0.04001167,0.07040222,0.06108652,-0.70109702,1.51585312,4.59780863,0
118,136,130,119,129,-0.0421497,-0.00351248,0.02580906,-0.64127646,1.44406844,4.55713064,0
119,136,130,119,129,-0.00717767,0.02672535,0.0496328,-0.73220372,1.45722896,4.64087943,0
118,136,130,119,129,-0.02046399,0.05482516,0.04673119,-0.8362915,1.53619211,4.70309282,0
118,136,131,119,129,-0.11270464,-0.06811147,0.04153884,-0.60179488,1.47517513,4.5846481,0
119,136,131,119,129,-0.10048733,0.00855211,0.04108069,-0.55752767,1.38065864,4.57029117,0
118,136,130,119,129,-0.02275473,0.07177667,0.0290161,-0.81116686,1.55892392,4.64686149,0
118,136,130,119,129,-0.09132435,-0.03039055,0.06918049,-0.65443698,1.50029977,4.53320242,0
118,136,130,119,129,-0.05177083,0.06352998,0.05925393,-0.46420758,1.3974084,4.55952346,0
119,136,130,119,129,-0.06536258,0.16844609,0.00030543,-0.75254271,1.59361985,4.69950359,0
118,136,130,119,129,-0.13820826,0.04138612,0.02076942,-0.84227356,1.60678038,4.74736004,0
118,136,131,119,129,-0.13439035,0.04077525,0.07757989,-0.7944171,1.48474642,4.81076984,0
118,136,130,119,129,-0.08155051,0.07131852,0.10537425,-0.78723864,1.49192489,4.83948371,0
119,136,130,119,129,-0.08689558,-0.01710423,0.1414153,-0.64725851,1.40099763,4.73778875,0
118,136,130,119,129,-0.08093964,-0.06734789,0.10170906,-0.51804609,1.30289191,4.58823734,0
118,136,131,119,129,-0.01282817,0.06597345,0.05635232,-0.6879365,1.3124632,4.70309282,0
118,136,130,119,129,0.02000584,0.05024367,0.06169739,-0.75373912,1.40219404,4.83589447,0
118,136,130,119,129,0.03008511,-0.05971208,0.1058324,-0.54317073,1.3663017,4.57986246,0
118,136,131,119,129,0.01282817,-0.05665775,0.09208793,-0.41515472,1.32921295,4.40518641,0
119,136,130,119,129,-0.03802636,0.0795652,-0.00809396,-0.61854464,1.34715912,4.57029117,0
119,137,130,119,129,-0.07422013,0.11468995,-0.02306016,-0.81954174,1.29930267,4.81794831,0
119,136,130,119,129,-0.03604105,-0.00152716,0.0065668,-0.74416783,1.34955195,4.78205597,0
118,136,130,119,129,-0.04627304,0.00137445,-0.02794708,-0.65443698,1.38544429,4.75334209,0
119,136,130,119,129,-0.06139196,0.01740966,-0.0571159,-0.68554367,1.44526485,4.68036101,0
119,136,131,119,129,-0.06337727,-0.02504547,0.01099557,-0.62691952,1.43330074,4.57746963,0
118,136,130,119,129,0.03436117,0.07330383,0.05971208,-0.50967121,1.50867465,4.45902492,0
118,136,131,119,129,-0.06582073,0.10186178,0.00152716,-0.54436714,1.48115719,4.55473782,0
118,136,131,119,129,-0.14446963,0.12476922,0.00137445,-0.74297142,1.31605243,4.80957343,0
118,136,130,119,129,-0.04993823,0.07483099,0.05665775,-0.79920275,1.30408832,4.9016971,0
118,136,130,119,129,-0.01252274,0.00167988,0.086132,-0.80997045,1.32562372,4.81196625,0
118,136,130,119,129,-0.03894266,0.0009163,0.0290161,-0.66999033,1.36151606,4.63370096,0
118,136,130,119,129,-0.05039638,0.01435533,0.04764749,-0.47856452,1.34117707,4.54038088,0
118,136,130,119,129,0.01786781,0.14370605,0.043066,-0.66879392,1.37108735,4.6899323,0
118,136,130,119,129,-0.00244346,0.16081027,0.04413501,-0.80877404,1.41176533,4.75693133,0
119,136,130,119,129,-0.05406157,0.05482516,0.04444045,-0.83748791,1.36031965,4.71505693,0
119,136,130,119,129,-0.05238169,0.0412334,0.11972959,-0.61854464,1.29451703,4.67557536,0
118,136,130,119,129,-0.01618793,0.10690142,0.11698069,-0.72263243,1.33878424,4.74496722,0
118,136,130,119,129,-0.11178834,0.01069014,0.09407325,-0.82193456,1.35912324,4.79162726,0
118,136,130,119,129,-0.12690725,-0.01084286,0.18829921,-0.83030944,1.36869453,4.78684161,0
118,136,130,119,129,-0.06856962,0.06383542,0.22052235,-0.71665037,1.31724884,4.77607391,0
118,136,130,119,129,-0.05955936,-0.00015272,0.19043724,-0.70827549,1.27896368,4.75214568,0
118,136,130,119,129,-0.08323039,0.02290745,0.23823744,-0.60658053,1.20478618,4.79043085,0
118,136,130,119,129,0.01908954,0.06444628,0.14813482,-0.60897335,1.28614215,4.76650262,0
118,136,130,119,129,-0.01175916,-0.06047566,0.03924809,-0.62093746,1.30887396,4.69471794,0
119,136,131,119,129,-0.01893682,-0.06811147,0.04337143,-0.70348984,1.31485602,4.72582463,0
118,136,131,119,129,0.03787364,0.02886338,0.11484266,-0.71306113,1.34117707,4.71505693,0
118,136,130,119,129,0.10812315,-0.00488692,0.10812315,-0.53479585,1.34835554,4.52722036,0
119,136,130,119,129,0.05192355,0.01038471,0.02397646,-0.60179488,1.40578328,4.49013161,0
118,136,130,119,129,-0.02351831,0.06475172,-0.00030543,-0.68913291,1.31365961,4.57148758,0
118,136,130,119,129,-0.02886338,0.16462818,0.02443461,-0.66879392,1.25503545,4.62173685,0
119,136,130,119,129,-0.00992656,0.18051068,-0.01359175,-0.66999033,1.34117707,4.61336197,0
119,136,130,119,129,-0.05467244,0.13775011,-0.02031127,-0.76570323,1.33878424,4.73659234,0
118,136,130,119,129,-0.01481348,0.13652838,-0.00992656,-0.80398839,1.39621199,4.65523637,0
