Thumb,Index,Middle,Ring,Pinky,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,Gesture
112,133,133,118,128,-0.12018774,-0.01007928,0.01527163,0.01435694,1.42612227,4.75453851,1
112,133,133,118,127,-0.03268129,0.08139779,-0.06505715,0.01555335,1.40339045,4.8071806,1
112,133,133,118,127,-0.00946841,0.07559457,-0.07757989,-0.0418744,1.45603255,4.76530621,1
112,133,133,118,127,0.02214386,0.02290745,-0.0636827,-0.08973085,1.45124691,4.75573492,1
112,133,133,118,127,0.04474588,0.0439823,-0.05879578,-0.02033899,1.54456699,4.66121842,1
112,133,133,118,127,0.01160644,0.0655153,-0.07345654,0.0107677,1.58045933,4.53559524,1
112,133,133,118,128,-0.00992656,0.1151481,0.00381791,-0.03230311,1.53140646,4.62293326,1
112,133,133,118,128,0.01863139,0.14217888,-0.02168572,0.02871387,1.51465671,4.6157548,1
112,133,133,118,127,-0.04718934,0.11530081,-0.04764749,-0.04666004,1.41415816,4.6480579,1
112,133,133,118,128,-0.03634648,0.12767083,-0.02672535,-0.10648061,1.33998066,4.75453851,1
112,133,133,118,127,0.04657847,0.13408492,-0.05497787,-0.05503492,1.46440743,4.69830718,1
113,133,133,118,127,-0.06505715,0.10949759,-0.05467244,-0.07058827,1.41774739,4.73898516,1
113,133,133,118,127,0.00397062,0.14004086,-0.04673119,-0.14117653,1.40697969,4.77966314,1
112,133,133,118,127,-0.00870483,0.11133019,-0.07574729,-0.19860428,1.47876437,4.79402008,1
113,133,133,118,127,-0.07712174,0.06719518,-0.0917825,-0.2751746,1.41296175,4.85623347,1
113,133,133,118,127,-0.0083994,0.03787364,-0.04566218,-0.31106694,1.4297115,4.7856452,1
113,133,133,118,127,0.02229658,0.03619377,-0.03695735,-0.16271194,1.50987106,4.65523637,1
113,133,133,118,127,-0.0233656,0.07635815,-0.03619377,-0.19501504,1.49671054,4.66002201,1
113,133,133,118,127,-0.04245513,0.06139196,-0.05100725,-0.24287149,1.4715859,4.6480579,1
113,133,133,118,127,-0.0711658,0.0720821,-0.04856379,-0.15074782,1.34835554,4.67198613,1
113,133,133,118,127,0.0374155,0.13087788,-0.0374155,-0.16271194,1.43449715,4.74018157,1
