Thumb,Index,Middle,Ring,Pinky,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,Gesture
114,125,122,114,123,-0.08475755,0.05299256,-0.01206459,1.10428763,2.75413881,4.12283334,1
114,125,121,112,122,-0.40805798,0.30650163,0.05192355,1.26341033,1.969293,4.38125818,1
113,125,121,114,122,-0.12614367,0.18921551,-0.01511891,0.8051848,1.98843558,4.65164713,1
113,125,122,113,122,-0.15592335,-0.14905112,-0.20387627,1.12343021,1.39022993,4.58584451,1
114,125,122,112,122,0.13439035,-0.11804971,-0.24892758,1.06480606,1.81256312,4.25443858,1
113,125,122,114,122,0.36407568,-0.30039298,-0.10567969,1.04446706,2.46580369,4.31306274,1
114,125,122,114,122,0.22204951,-0.2490803,-0.12660182,1.41176533,1.9908284,4.33818737,1
114,125,122,116,122,0.1985312,-0.20937406,-0.1498147,1.49910336,2.09970183,4.23170677,1
114,125,122,114,123,0.27351491,-0.16447547,-0.09117164,1.20119695,2.82592349,4.32741967,1
114,125,122,112,123,-0.18921551,0.04642576,-0.043066,1.55174546,2.08773772,4.18743955,1
114,125,122,114,122,-0.08506298,0.1985312,0.00213803,1.23708928,2.04466691,4.40997205,1
113,125,121,114,122,-0.02489276,0.07422013,-0.04459316,0.9427721,2.13439776,4.51645266,1
114,125,122,115,122,0.08811731,-0.25182919,-0.09071349,1.6307086,1.97048941,4.77009185,1
113,125,123,114,123,0.26557366,-0.01527163,-0.17837265,1.66301171,2.42632212,3.79860588,1
113,125,122,112,123,-0.20265454,0.57467147,-0.22327124,0.66400827,2.14037982,4.82991242,1
113,124,119,114,122,-0.16126842,0.50823988,-0.07086037,0.4019942,2.17986139,3.85603362,1
113,124,120,114,120,-0.51282137,0.06475172,0.07452556,0.89850489,0.96191469,4.70907488,1
113,125,121,113,121,-0.06520986,-0.00488692,0.13057244,1.11744815,1.9166509,4.19820725,1
113,125,122,113,122,0.29077185,-0.11453723,0.06215554,1.6618153,2.42273288,4.85384064,1
113,125,122,111,123,-0.05283984,0.19685132,0.05650503,1.13898356,2.28634199,4.06420919,1
113,125,121,114,122,-0.3071125,0.25396722,0.01756238,1.25144622,2.11405877,4.50209572,1
113,125,121,113,122,-0.18875736,0.21471913,-0.06337727,1.10309122,2.08055925,4.17906467,1
113,125,122,114,122,-0.3220787,0.22143865,-0.03176499,1.0372886,1.95015042,4.61934403,1
113,125,121,117,122,-0.30222558,0.34468071,-0.0729984,1.06600247,1.67138659,4.45423927,1
113,125,122,114,122,-0.2341141,0.55268032,-0.11194105,0.55274202,1.81615235,4.44227516,1
113,125,122,113,122,-0.15118915,0.24220807,-0.03787364,1.0265209,2.00877457,4.53798806,1
113,125,122,114,122,-0.08338311,0.33231069,-0.03863723,0.91884388,1.87477651,4.48175673,1
113,125,122,115,122,-0.14401148,0.25961773,-0.14065172,0.83509509,1.97168582,4.52243471,1
113,125,121,117,122,0.03787364,0.04367686,0.01542435,0.87936231,1.7898313,4.28315245,1
113,125,121,114,122,-0.05024367,0.04917465,-0.01924226,0.92841517,1.83050929,4.78205597,1
114,125,121,113,120,-0.02641992,0.16065756,-0.09621128,0.73818577,1.84366981,4.5846481,1
114,121,113,109,114,-0.00534507,0.06765333,-0.06627888,0.80279198,1.32682013,5.16610399,1
113,121,114,110,114,1.14308158,-0.21059579,0.01359175,-0.52283174,1.04446706,5.94496775,1
113,122,116,112,115,1.13330773,-0.39431351,-0.17394388,0.74536424,3.20279305,5.66740033,1
113,118,115,110,114,0.70875639,-0.26389378,0.55573465,0.35413774,4.01754915,7.23709195,1
113,117,114,110,115,1.85718304,-2.6218336,1.20890231,0.22612174,3.68973245,7.38783978,1
113,119,115,108,115,2.29746416,-3.78095039,1.92437822,0.90448694,2.79840603,4.81435907,1
113,121,116,110,115,2.98224409,-4.0048325,2.09526777,1.56490598,1.84725905,3.24347103,1
114,122,119,113,118,3.08578575,-4.22230053,2.35534364,2.51246373,2.82233426,2.43948264,1
114,125,123,113,122,2.43521427,-3.82584899,2.16322652,2.62492639,2.06261308,1.62711937,1
115,127,126,115,125,2.0937406,-3.76277715,1.68980597,2.97786773,1.69770763,0.63888363,1
116,128,128,115,126,1.83519189,-3.09708676,1.57694861,3.34875523,1.80658106,0.28713871,1
116,129,129,115,129,1.72951221,-2.48652695,1.24494336,3.59880519,1.62592296,-1.3866407,1
117,131,130,117,130,0.92240651,-1.83931523,0.71959925,4.0019958,2.1702901,-1.10189481,1
117,134,131,119,128,0.03069598,-0.97723166,0.6994407,4.28075963,1.39860481,-1.27776727,1
118,136,132,116,128,0.17669277,-0.09132435,0.33231069,4.09292306,1.6091732,-1.51585312,1
117,137,131,115,128,-0.20922134,0.23609941,0.05681047,4.18504673,2.11884441,-0.84107714,1
118,137,130,114,128,-0.3932445,0.50213123,0.0983493,4.31784838,2.04945256,-0.41874395,1
118,137,130,115,128,-0.27855455,0.6994407,-0.00213803,4.15992209,1.67617223,-0.81954174,1
118,136,131,118,129,-0.49205195,1.07206849,-0.29000827,4.48534596,1.75633179,-0.91645106,1
118,136,132,117,130,-1.01754877,1.88848988,-0.55604008,4.36450842,1.8735801,-0.81355968,1
118,136,132,116,130,-1.4326317,2.72476439,-0.87842421,4.11326205,1.52781723,-0.42233319,1
117,136,131,115,129,-1.7734945,3.5048393,-1.12490834,3.82851616,1.88195497,-0.16031911,1
117,137,130,115,128,-1.7163786,4.28170717,-1.25929869,3.48514612,2.06739873,0.82193456,1
117,136,129,116,128,-1.78601724,4.64379754,-1.46561842,2.95872514,2.32343074,1.52303158,1
117,134,129,119,127,-2.11878608,4.67311907,-1.29152183,2.64047974,2.14636187,2.07218437,1
117,131,128,116,124,-2.01646615,4.75818206,-1.01586889,1.86281239,1.70967175,3.13340119,1
114,121,116,113,118,-1.84450759,4.90616416,-1.00685863,-0.59461642,0.59342,5.16251476,1
111,113,107,109,116,-1.16721075,3.53171737,-1.23089345,-0.85663049,2.07936284,6.94995324,1
113,114,106,109,116,-1.0552697,3.18138616,-0.60063325,-0.65084775,1.80179542,5.11106907,1
114,119,111,109,117,-0.4784602,2.35519093,-0.22357668,-1.21316106,1.96690018,6.20698182,1
113,122,118,112,119,-0.06047566,0.89018337,0.17302758,-1.12821586,2.17986139,6.20698182,1
113,124,122,114,122,-0.14446963,0.28512135,0.01145372,-0.66041904,1.91904373,5.8444692,1
114,123,121,114,121,0.0992656,0.11575896,0.09514226,-0.04666004,2.12721929,4.79043085,1
113,122,116,113,120,0.25625797,-0.26022859,0.33567045,-0.42592242,2.0111674,5.25703125,1
114,123,117,113,121,0.25717427,-0.56673022,0.14309518,-0.05982056,1.7467605,4.38963306,1
114,124,119,115,121,-0.00870483,-0.24938573,0.05039638,0.1268196,1.89032985,4.66121842,1
114,124,120,113,121,0.23609941,-0.31658091,0.12721269,-0.19621145,1.75633179,4.46500697,1
114,124,120,113,122,0.18219056,-0.31688634,0.0496328,0.09690932,2.06380949,4.62293326,1
114,124,121,113,122,-0.09850202,0.03817908,-0.14538593,0.40677984,1.91425808,4.01395991,1
114,124,120,114,121,-0.11148291,0.30069841,-0.10201449,0.20338992,1.63908348,4.33818737,1
114,124,120,115,121,-0.03497203,0.40775255,-0.12125675,-0.14955141,1.95972171,4.51286342,1
114,124,120,114,122,-0.1085813,0.5187773,-0.1414153,0.05862415,1.88195497,4.12642257,1
114,124,120,113,121,-0.10293079,0.39599339,-0.06811147,-0.15792629,1.88195497,4.69232512,1
114,124,120,112,121,-0.03848451,0.29642236,-0.08842274,-0.148355,2.12363006,4.76291339,1
114,124,120,113,120,-0.02535091,0.24174992,-0.01664608,-0.19381863,2.04466691,4.69950359,1
114,122,116,112,117,0.02489276,0.02580906,0.10293079,-0.60179488,1.8101703,5.51425968,1
113,118,111,111,112,0.41309762,-0.78572541,0.64644814,-1.30169549,2.6464618,7.06600514,1
113,115,109,107,109,0.83459463,-1.88589371,1.40407375,-1.37946223,2.77328139,6.70827816,1
112,116,111,105,110,1.80052529,-3.64442201,2.13650117,-1.0265209,2.14157623,6.31705166,1
112,119,115,109,115,2.22309132,-5.00329173,2.54089396,-0.33619158,2.44785752,5.78704146,1
114,124,122,115,121,2.71269981,-5.00359717,2.92757165,0.89013001,2.16311163,3.13818684,1
114,128,126,120,126,2.31899716,-5.00359717,2.57036821,2.12602288,2.03509562,2.14037982,1
115,130,128,118,127,1.43202083,-4.9383873,2.0459404,2.82233426,1.77667078,1.6414763,1
116,130,129,116,127,1.46546571,-4.44007398,1.68598806,3.40139733,1.31485602,0.16630117,1
117,131,130,118,127,1.32313411,-3.82737615,1.37902828,4.2879381,1.70129687,-0.13998012,1
117,132,131,118,128,0.67958758,-2.97491371,0.7556403,4.17906467,1.22273235,-0.21655045,1
118,134,131,120,127,0.6264423,-2.00959392,0.56993727,4.40040076,1.26221392,-0.91645106,1
118,134,130,118,127,0.25320364,-1.11269103,0.40775255,4.50688137,1.29332062,-0.88295154,1
118,135,130,118,127,0.23335052,-0.6751588,0.15180001,4.3728833,1.1856436,-0.80997045,1
118,134,130,117,127,0.00610865,-0.45814893,-0.1563815,4.40159717,2.03150639,-0.56709896,1
118,134,129,117,127,0.02214386,-0.19272798,-0.1226312,4.77248468,1.89631191,-0.63768722,1
117,134,129,117,127,0.03894266,-0.01908954,-0.12538009,4.66002201,1.64626195,-0.93679005,1
118,134,130,119,128,-0.19364428,0.5618433,-0.4644103,4.76052056,1.63669066,-1.07198452,1
118,134,131,118,128,-0.45066583,1.48592969,-0.7209737,4.88614375,1.88674062,-0.89730847,1
118,135,131,118,129,-1.09635039,2.38038912,-0.95676768,4.87896528,1.91425808,-0.90687977,1
118,135,132,115,130,-1.68766794,3.28294251,-1.38620594,4.6157548,1.84486622,-1.31126678,1
118,137,132,118,130,-2.45460924,4.63555086,-1.86359713,4.19940366,1.72043945,-0.42592242,1
118,140,133,118,130,-2.96590345,5.00359717,-2.37260059,2.51605296,1.63190501,1.68215429,1
116,141,133,119,128,-2.92069942,5.00359717,-2.74018874,2.30069893,2.32343074,1.72402868,1
116,141,129,114,120,-3.13801473,5.00359717,-2.44514083,1.39142634,1.78026001,2.92642204,1
115,134,120,107,115,-2.7734809,5.00359717,-2.5357016,-1.38783711,0.7944171,5.30129847,1
113,106,103,106,112,-2.16475369,3.82890331,-2.07709453,-1.7898313,2.33300204,6.31226602,1
113,91,100,105,110,-1.04977191,2.09542048,-1.04015078,-1.63190501,1.89032985,5.28813795,1
114,103,108,106,112,-1.05420068,1.64887799,-0.21685716,-2.00398893,0.88534436,7.24546683,1
114,121,120,110,117,-0.14767667,0.66324693,0.31642819,-1.02293166,1.64506554,4.50688137,1
113,132,125,111,120,-0.36468655,-0.10079276,0.53007831,-0.73698936,1.97048941,5.76789888,1
114,134,125,114,120,-0.0233656,-0.33124168,0.39904772,-0.39960137,1.53738852,5.13140807,1
114,132,122,114,120,0.41844269,-0.35262196,0.35033121,-0.19381863,1.32562372,4.62173685,1
114,126,120,114,120,0.3295618,-0.51572298,0.1731803,-0.24885355,1.65463683,4.73061028,1
114,119,118,112,118,0.18891007,-0.50228394,0.01832596,-0.42472601,1.61156602,4.78684161,1
114,118,118,112,118,0.13775011,-0.10552697,-0.05406157,-0.25244278,1.70368969,4.66480766,1
114,122,120,110,119,-0.00305433,0.08353582,-0.05986479,-0.23808585,1.80299183,4.59063016,1
114,125,120,112,119,-0.0589485,-0.12003502,-0.01756238,0.20817557,1.9166509,4.32622326,1
114,126,120,113,119,0.01802052,0.03955352,0.08124508,0.1375873,1.73838562,4.68275383,1
114,126,120,113,119,-0.07269296,0.16417003,-0.0074831,-0.22372891,1.71685022,4.60379068,1
114,124,120,113,119,-0.07147123,-0.03451389,-0.07360926,-0.04666004,1.76111743,4.60379068,1
114,123,120,110,119,0.03420845,0.02641992,-0.00962113,-0.14476577,1.65344042,4.64087943,1
114,124,120,112,119,0.02076942,0.13271047,0.00397062,-0.29790641,1.95254324,4.88734016,1
114,125,120,113,119,0.00122173,-0.12431108,0.0299324,-0.10289137,1.90109756,4.60139786,1
114,124,120,113,119,-0.00503964,-0.07605272,0.03695735,-0.10648061,1.63310142,4.51645266,1
114,125,120,113,119,0.04321872,0.03039055,0.06307184,-0.11964113,1.68933276,4.65523637,1
114,125,120,111,119,0.08582657,-0.15012013,0.03313944,-0.0526421,1.91784731,4.66600407,1
114,125,121,112,119,-0.03665191,-0.04993823,-0.03115413,-0.16869399,1.61156602,4.65403996,1
114,125,120,113,119,-0.0589485,0.0355829,-0.04031711,-0.06819544,1.57208445,4.4997029,1
114,125,120,115,119,0.09743301,-0.13286319,0.04932737,-0.1794617,1.63549425,4.60857633,1
114,125,120,113,119,0.10399981,-0.183565,0.02183843,-0.00837488,1.79461695,4.78923443,1
114,125,121,112,119,0.01130101,0.06108652,-0.02748894,-0.13160524,1.75992102,4.54397012,1
114,125,120,113,119,0.11071932,-0.19562959,0.09957103,0.21296121,2.02432792,4.6899323,1
114,125,121,110,119,-0.10399981,0.13194689,0.00259618,-0.15314065,1.84725905,4.77727032,1
114,125,120,112,119,-0.08124508,0.0083994,-0.10919216,-0.0957129,1.81495594,4.52841677,1
114,124,120,113,119,0.04444045,-0.1123992,0.01954769,0.19501504,1.82452723,4.47577467,1
