Thumb,Index,Middle,Ring,Pinky,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,Gesture
114,135,136,119,125,-0.04169155,-0.05253441,-0.13927727,0.12442678,1.51226388,4.44107875,1
114,135,136,119,125,-0.02565634,0.20066923,-0.15592335,-0.05862415,1.48474642,4.92562532,1
114,135,135,119,125,0.1301143,0.0655153,-0.11591168,0.12203395,1.7898313,4.69471794,1
114,135,136,119,125,0.00794125,0.09590584,-0.10934488,0.11844472,1.63788707,4.75094927,1
114,135,136,119,125,0.04046982,0.12018774,-0.02107485,-0.0215354,1.6307086,4.70428923,1
114,135,135,119,125,0.07757989,0.04169155,0.01252274,0.07058827,1.63549425,4.55952346,1
114,135,136,119,125,-0.01267545,0.10079276,-0.07528914,-0.04307081,1.53021005,4.66121842,1
114,135,136,119,125,-0.07971791,0.08857546,-0.11667526,-0.14715859,1.48594283,4.7114677,1
114,135,136,119,125,0.02397646,0.03695735,-0.00274889,-0.11365907,1.61036961,4.68634306,1
114,135,136,119,125,-0.05696318,0.06841691,0.02977968,-0.30388847,1.58524497,4.90767915,1
114,135,136,119,125,-0.14278975,0.03588833,-0.00687223,-0.27278178,1.46201461,4.95792843,1
114,135,136,119,126,-0.07971791,-0.05726862,0.05558874,-0.16151553,1.56969163,4.7114677,1
114,135,136,119,125,-0.01435533,-0.12950343,0.1339322,0.03948157,1.62113731,4.50807778,1
114,135,136,119,125,-0.01893682,-0.00488692,0.11285735,-0.00358923,1.55772751,4.57507681,1
114,135,136,119,125,-0.0561996,0.00641409,0.05360342,-0.06939186,1.45244332,4.64207584,1
114,135,136,119,125,-0.0233656,-0.0280998,0.07910705,0.03708875,1.50029977,4.63609379,1
114,135,135,119,125,0.01282817,0.04352415,0.03802636,-0.09451649,1.61395884,4.86460835,1
114,135,136,119,125,-0.12782355,0.02687807,-0.07422013,-0.1794617,1.51585312,4.86819758,1
114,135,136,119,125,-0.03161228,-0.06078109,0.01114829,-0.03469593,1.49551412,4.7437708,1
114,135,136,119,125,0.1226312,-0.04932737,0.11224649,0.15314065,1.66420812,4.67916459,1
114,135,136,119,125,0.01099557,0.0271835,-0.02458733,0.00957129,1.72283227,4.8598227,1
114,135,136,119,125,-0.04703662,-0.06123924,-0.00992656,0.02512464,1.55174546,4.68634306,1
114,135,136,119,125,0.13087788,-0.11285735,0.16691893,0.17108682,1.62831578,4.64446867,1
114,135,136,119,125,0.13545937,-0.03161228,0.11270464,0.19980069,1.64865477,4.77248468,1
114,135,136,119,125,0.08078693,-0.06383542,0.04291328,0.29192436,1.45483614,4.67198613,1
114,135,136,119,126,0.15317446,-0.01634065,-0.00855211,0.27158537,1.5349957,4.29152733,1
114,135,136,119,126,0.00366519,0.05513059,-0.0448986,0.23928226,1.48713925,4.33818737,1
114,135,136,119,126,-0.11346822,0.12629639,-0.06505715,0.08733802,1.48355001,4.3944187,1
114,135,136,119,126,-0.1357648,0.12354749,-0.01771509,0.4127619,1.62592296,4.28075963,1
114,135,136,119,125,-0.24892758,0.15745052,-0.11133019,0.56470613,1.55533469,4.24486729,1
114,135,136,119,126,-0.24633141,0.35842518,-0.21777346,-0.02273181,1.56849521,4.84666218,1
114,135,136,119,125,-0.42745295,0.45753806,-0.47632217,-0.27038895,2.45144675,5.32163746,1
114,134,132,116,118,-1.00640048,0.13836098,-0.49846603,-0.3601198,2.20977167,6.61615449,1
113,127,123,111,113,-0.09972375,-0.81565781,0.57131171,-2.3820549,0.69272214,8.90967495,1
114,129,125,114,114,2.22064786,-4.4767259,2.44040663,-4.23768882,1.40458687,9.39422153,1
113,132,134,119,123,2.71010363,-5.00359717,3.88708823,-1.66420812,0.05383851,5.21037121,1
110,137,136,121,132,3.02286663,-5.00359717,3.66137352,3.65384011,0.97507521,1.59361985,1
110,135,135,120,132,2.49904969,-4.71542149,2.37290602,2.68235413,1.2179467,1.48474642,1
109,138,136,120,131,1.77822871,-4.17312587,2.04441324,3.49711023,1.02771731,0.6568298,1
108,138,136,120,132,0.90866204,-3.4017558,1.10826226,4.30229503,0.45942194,-0.23688944,1
108,138,136,120,132,1.1180361,-1.67132729,0.66523224,3.81655205,1.41296175,-0.12801601,1
108,138,136,120,132,0.3707952,-1.10566608,0.42760567,4.0342989,1.45962179,-0.18664016,1
108,138,136,120,132,-0.29184087,-0.44409903,0.03955352,4.65403996,0.94037928,-0.15553347,1
109,138,136,120,132,-0.21013764,0.56337047,-0.25182919,4.52482754,1.27657086,0.44865424,1
109,137,135,119,131,-0.28023443,0.95905842,-0.49877147,4.10608358,1.33040937,0.55872408,1
108,137,136,120,132,-0.47036623,1.17163953,-0.61132339,4.91725044,1.32562372,0.45343988,1
108,137,136,120,132,-0.70432762,2.1742221,-1.01602161,5.62672234,1.48953207,0.06221339,1
109,137,136,120,132,-1.23623853,3.95993391,-1.76708042,4.17667185,1.39022993,0.45702912,1
110,136,136,120,131,-1.83839893,4.99199073,-2.03265408,3.0699914,1.38544429,1.21316106,1
111,135,136,119,129,-2.34755511,5.00023741,-2.18369051,1.45842537,0.97746803,2.7637101,1
111,135,135,119,129,-2.01005207,4.02346389,-2.05556153,1.86281239,0.63290158,3.30448801,1
112,135,134,118,128,-1.36070232,4.7380235,-2.00806675,1.76351026,1.14137638,2.63928333,1
114,134,134,118,125,-1.61787658,5.00359717,-2.11374644,-0.45224347,1.04685989,5.3252267,1
114,132,133,117,125,-0.69516464,3.51079524,-2.07327662,-2.16430804,1.94297195,6.26321316,1
115,133,131,117,124,-0.57406061,1.44943049,-1.0038043,-1.68215429,1.65104759,5.98325291,1
114,133,132,118,125,-0.65683285,1.12063228,-0.48273625,-1.48115719,1.70249328,6.12203662,1
114,133,132,118,125,-0.48334712,0.7499898,-0.38408152,-1.5780665,1.62711937,6.10169763,1
113,133,132,118,125,-0.29688051,0.10537425,-0.00351248,-1.11505533,1.21675029,5.59681206,1
114,133,132,118,126,-0.06948592,0.00259618,0.11804971,-1.01934243,1.6199409,5.28454871,1
114,133,132,118,126,-0.08903361,-0.10751228,0.01053743,-0.86021972,2.00997098,5.05483774,1
114,133,132,118,125,-0.28283061,-0.29153543,0.16111571,-1.02532448,1.42014021,5.62791876,1
114,133,132,118,125,0.37216965,-0.8061894,0.42852196,-1.69172558,1.39980122,6.90209679,1
113,132,130,117,122,0.82726425,-1.9260581,0.88865621,-2.10927312,1.21555388,7.20119961,1
113,131,126,114,115,1.44897235,-3.83684456,1.57908664,-2.75413881,-0.14955141,8.29950519,1
112,127,129,117,116,3.02973887,-5.00359717,1.99432229,-5.3359944,-0.03828516,6.4689959,1
110,139,139,121,126,3.98757556,-5.00359717,3.58303005,1.14975126,-1.07198452,2.35932308,1
106,140,139,121,134,4.03109971,-5.00359717,3.61876567,5.69731061,1.24187493,-1.88913344,1
106,141,140,122,138,1.87382912,-4.61050539,1.562746,5.57408025,1.65822606,-2.21455732,1
107,141,139,121,135,0.37659842,-2.24309715,0.7125743,4.46979262,1.02412807,-1.88674062,1
107,140,138,121,134,0.22388211,-0.37446039,0.51266865,4.08454818,1.65104759,-0.42592242,1
107,139,138,121,134,-0.26099217,-0.00213803,0.36468655,3.77707047,1.83768776,0.28953153,1
107,139,138,120,133,-0.4344779,-0.10399981,0.24862215,4.57507681,1.03369936,0.19740786,1
107,138,137,121,133,-0.00534507,0.74113225,-0.04886922,4.43150746,1.55174546,0.5192425,1
107,138,137,120,133,0.05925393,0.90591315,-0.18677205,4.25922423,1.78265284,0.71186472,1
107,138,138,121,134,-0.14309518,0.83841254,-0.3193298,5.37547597,1.60079832,0.2225325,1
107,138,138,121,135,-0.34254268,2.56807746,-0.79702642,6.06341247,1.54695981,-0.8578269,1
108,138,138,121,134,-1.23043531,4.73023497,-1.42484317,5.30010206,1.60319114,-0.45822553,1
110,138,138,121,134,-2.18720299,5.00359717,-1.80464863,2.69671107,1.14735844,0.11724831,1
112,136,134,118,126,-3.14687227,5.00359717,-2.30494726,0.4235296,0.61854464,2.20618244,1
110,130,133,118,119,-2.98850546,4.74489574,-2.09816938,-1.05044912,-0.18305093,6.1830536,1
111,131,128,114,119,-0.55512379,2.93765093,-1.14109626,-0.9212367,0.40079779,6.22253517,1
112,130,131,117,123,0.08567385,2.69406842,-0.7275405,-1.60558396,1.75154614,6.87338292,1
112,131,131,117,123,-0.14523321,0.7855727,-0.40912699,-1.54456699,2.03629203,6.818348,1
112,132,131,117,123,-0.53542338,-0.08659015,0.06872234,-0.31585258,1.48833566,5.52622379,1
112,132,132,117,124,-0.37323866,0.03237586,0.0299324,0.10289137,1.0803594,5.11944395,1
112,132,132,117,124,0.02321288,0.2930626,0.01435533,-0.14955141,1.27417803,4.96271407,1
112,132,132,117,124,0.12614367,0.21716259,0.01023199,-0.29551359,1.26699957,5.04765927,1
112,132,132,117,124,0.04978552,0.0936151,0.04825835,-0.32063823,1.11744815,5.05124851,1
112,132,132,117,124,0.14477506,0.02825252,0.02122757,-0.03469593,1.27657086,4.9447679,1
112,132,132,117,124,0.01695151,0.09544769,0.01695151,-0.05503492,1.16650102,5.04885569,1
112,132,132,117,124,0.00412334,-0.06032294,-0.01389718,-0.13160524,1.0803594,4.7748775,1
112,132,132,117,124,0.04917465,-0.12370021,0.0074831,0.15433706,1.18085795,4.46381056,1
112,132,132,117,125,0.01282817,-0.10125091,-0.03161228,0.22851456,1.25503545,4.41356129,1
112,132,132,117,125,-0.1301143,-0.03924809,-0.12797627,-0.03230311,1.21435747,4.77128826,1
112,132,132,117,125,-0.20418171,-0.09896017,-0.17776178,-0.13280165,1.1748759,4.77248468,1
112,132,132,117,125,-0.11377365,-0.16249015,-0.06154467,0.09332008,0.98584291,4.78085955,1
112,132,132,117,125,0.13698653,-0.04077525,-0.02641992,0.08015956,1.39142634,4.71984258,1
112,132,132,117,125,-0.00717767,-0.03802636,-0.1085813,-0.05742774,1.36510529,4.82632318,1
