Thumb,Index,Middle,Ring,Pinky,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,Gesture
116,124,121,112,124,0.11820242,0.03176499,-0.00916298,0.73340013,1.47876437,4.46739979,1
116,125,121,112,124,-0.09101892,0.08124508,-0.00458149,0.61016976,1.30767755,4.89332222,1
116,125,121,112,124,0.01618793,0.02596177,0.01420262,0.63290158,1.25383904,4.69591435,1
117,125,121,112,124,0.02138028,0.01634065,-0.05986479,0.71186472,1.29690985,4.72103899,1
116,125,121,112,124,0.05100725,0.02886338,-0.03512475,0.55633125,1.56610239,4.64327226,1
116,125,121,112,124,-0.10430524,0.00733038,0.02748894,0.57667025,1.32682013,4.80119855,1
117,125,121,112,124,-0.02229658,-0.0280998,-0.01802052,0.72263243,1.23350005,4.72343181,1
116,125,121,112,121,0.04062254,0.03008511,-0.06246097,0.66400827,2.55673095,2.97786773,1
117,125,121,112,121,-0.84589564,-0.2987131,-0.10827586,1.17009025,0.99302138,5.28574512,1
116,125,121,112,122,0.04138612,-0.0439823,-0.00519235,0.91764747,0.85423767,4.68514665,1
117,125,121,112,123,0.3791946,0.25503624,0.05024367,0.57906307,1.24307134,4.77727032,1
116,125,121,112,123,0.60567288,0.04550946,0.06337727,0.42951166,2.00997098,3.65384011,1
117,125,122,112,123,-0.42592579,-0.51923545,0.02641992,1.25623186,1.10189481,6.03350219,1
117,125,121,112,123,0.12950343,0.32834007,0.01710423,0.5611169,1.39381916,4.90767915,1
117,125,121,112,123,-0.11743884,0.38438695,-0.21074851,1.2598211,1.50628183,4.46022133,1
117,125,121,112,123,-1.02136668,1.53235545,0.15225816,0.5084748,1.17607231,5.06560544,1
117,124,121,112,123,-0.26343563,1.01113469,0.12064588,0.15433706,0.80398839,4.29511657,1
116,124,120,112,123,0.32009338,0.27122417,0.03527747,-0.34217363,1.10428763,4.84307294,1
117,124,121,112,123,0.20631973,-0.48212539,-0.07391469,0.42951166,1.22991082,4.27238475,1
117,124,121,112,123,-0.04321872,0.09101892,0.01053743,0.40917266,1.21316106,5.28454871,1
117,124,121,112,123,0.41584651,0.15271631,0.06872234,-0.11964113,1.39860481,4.51884548,1
117,124,121,112,123,-0.18509217,-0.00305433,-0.05604689,0.21655045,1.13778715,4.66839689,1
117,124,121,112,123,-0.01130101,-0.22220223,-0.13362677,0.39960137,1.1856436,4.57268399,1
117,125,121,112,123,-0.1198823,0.11927144,-0.04841107,0.36131621,1.19760771,4.73180669,1
117,125,121,112,123,-0.00198531,0.02306016,-0.00351248,0.23090738,1.20837541,4.77607391,1
117,125,121,112,123,0.14080444,-0.09147707,0.01282817,0.29910283,1.16650102,4.98903512,1
117,125,121,112,123,0.09789115,0.1769982,0.01832596,0.29312077,1.38903352,4.77846673,1
117,123,119,111,120,-0.12660182,0.06169739,0.00030543,0.43908295,0.92721876,5.37547597,1
117,122,115,107,119,0.0496328,0.02947425,-0.19364428,0.0,0.80279198,5.16371117,1
116,121,115,105,118,0.09056077,-0.12446379,-0.08002335,-0.19381863,1.58524497,6.60777961,1
116,121,116,107,118,0.06261369,-1.16568359,-0.16814066,-1.28016009,0.31585258,5.67936444,1
115,120,117,109,120,-0.54428093,-1.46790917,-0.59162298,-1.19401848,0.81116686,8.8402831,1
115,120,116,109,118,1.21638541,-3.21406745,0.61361413,0.99900344,1.75633179,6.69033199,1
115,120,113,107,118,2.31609555,-4.34905506,0.8483391,1.33519501,1.76709949,5.19242504,1
115,122,117,109,122,2.36465934,-4.83560923,0.93737271,1.41056892,1.41535457,5.57168742,1
115,125,121,111,124,2.82479358,-4.94984103,0.99662664,2.72781776,1.96570377,2.92881486,1
116,127,122,114,125,2.16841888,-4.09676772,0.81825399,2.79242397,1.7994026,1.00977114,1
117,127,123,116,128,1.21653812,-3.87456549,0.28298332,2.67039002,1.24546416,2.29112764,1
117,128,126,118,132,0.95905842,-3.43382622,-0.00946841,2.87377994,1.97527506,1.07198452,1
117,129,128,119,133,-0.03894266,-2.90374791,-0.23090706,3.42652196,1.45483614,0.68434726,1
117,130,130,119,133,1.15087011,-1.70202327,-0.2191479,4.13479745,1.45124691,-1.63190501,1
118,132,130,119,133,0.301462,-1.07329022,-0.11407908,4.00797786,2.15114752,-0.13878371,1
118,133,131,119,133,-0.05115996,-0.35353826,-0.03833179,4.11924411,2.8582266,0.10648061,1
118,134,131,119,133,-0.34391713,-0.07925976,0.11133019,3.9601214,2.49451756,-0.49890351,1
118,134,131,118,133,-0.26160304,0.32971451,0.00213803,3.95653217,2.43230417,-0.58863436,1
118,135,132,118,133,-0.47769662,0.74327028,0.13713925,4.04506661,2.74935317,0.28713871,1
118,134,132,119,133,-0.35750888,1.22844999,0.41935899,4.14077951,2.67278284,-0.08973085,1
118,135,132,119,134,-0.67408979,2.15406355,0.51373767,3.97567475,2.34376974,-0.07298109,1
118,135,132,119,133,-0.56107972,2.85762758,0.41263947,3.58564467,2.42871494,0.03230311,1
118,134,131,119,133,-0.58078013,3.7210856,0.22983805,3.75792789,2.58903405,0.14476577,1
117,134,131,119,133,-1.09528137,4.74886636,0.29046642,2.89172611,1.96331094,1.37108735,1
116,133,130,117,131,-1.19439426,4.98359133,0.43157629,2.18464703,1.49551412,2.04466691,1
