Thumb,Index,Middle,Ring,Pinky,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,Gesture
114,126,121,114,122,0.04092797,0.05604689,-0.0908662,0.67477597,2.11046953,4.27238475,1
114,126,121,113,122,0.18906279,-0.12217305,0.01756238,0.92602235,2.49571397,4.3621156,1
114,126,121,111,122,0.10308351,-0.01023199,0.05665775,1.33160578,2.04107768,4.42073975,1
114,126,122,114,123,-0.02886338,0.13912456,-0.01802052,0.92602235,2.17387933,4.38963306,1
114,126,121,116,122,-0.07254025,0.00946841,-0.04108069,0.91286182,2.19421832,4.38245459,1
114,126,121,114,122,-0.04978552,0.03039055,-0.00015272,1.14616203,2.11286236,4.35613354,1
114,127,122,113,122,-0.06826419,0.12308935,0.03039055,0.93439723,2.15354034,4.50209572,1
114,127,122,112,122,-0.12049317,0.08124508,-0.05910121,0.86620178,1.95134683,4.43150746,1
114,127,121,114,122,0.08811731,-0.07590001,-0.07880162,0.89730847,2.30548458,4.1922252,1
114,127,122,116,122,0.00259618,-0.12721269,-0.01557706,1.14975126,2.22652143,4.44466798,1
114,127,122,114,122,-0.21105394,0.16355917,-0.0852157,0.93679005,2.08295207,4.41116846,1
114,126,121,114,122,-0.11896601,0.05589417,-0.07498371,1.06002041,2.27557429,4.42193616,1
114,127,121,111,122,-0.25503624,0.35414912,0.0083994,1.23110723,2.51605296,4.63011173,1
114,126,122,111,123,-0.43585235,0.61254512,-0.18142698,0.52163533,2.02073869,4.15513644,1
114,126,122,114,122,-0.52519139,0.50182579,-0.17959438,0.56350972,2.16191522,4.58943375,1
114,126,121,114,123,-0.45967609,0.5468771,-0.09728029,0.28354948,1.51704953,4.49491725,1
114,126,122,116,123,-0.19914207,0.02504547,-0.12950343,0.51206404,1.75154614,4.5212383,1
114,126,122,117,123,-0.17623462,0.19608774,-0.08414669,0.79082787,1.98245352,4.43988233,1
114,126,122,115,123,-0.06948592,0.35323282,0.02107485,0.66640109,1.91186526,4.60737992,1
114,126,122,115,124,-0.20967949,0.28695395,-0.07391469,0.22851456,1.94177554,4.35493713,1
114,126,122,115,124,-0.3914119,0.02199115,-0.04092797,0.33379875,1.61395884,4.94716073,1
114,126,121,116,124,0.0478002,-0.00198531,0.0009163,0.3601198,1.47038949,4.30827709,1
114,126,122,118,124,0.25778513,-0.40500365,0.05177083,0.53001021,1.98484635,4.66480766,1
114,127,122,116,124,0.11285735,-0.27779097,0.02367103,0.7310073,1.86879445,4.68873588,1
114,127,122,114,124,0.01007928,0.13454307,0.04581489,0.65204416,1.96690018,4.44466798,1
114,127,122,115,125,-0.09896017,0.09575313,0.03283401,0.44147577,1.90109756,4.59900504,1
114,127,122,116,125,-0.21945334,0.13927727,0.0018326,0.51565327,1.65463683,4.6695933,1
114,126,122,118,125,-0.19730947,0.1760819,-0.07315111,0.77048888,1.59122703,4.56430911,1
114,126,122,116,125,-0.07422013,0.17119498,-0.12202033,0.59342,1.75154614,4.66600407,1
114,125,120,114,122,-0.21426098,0.08918632,-0.18555032,0.36251262,1.1114661,5.19122863,1
114,124,116,109,116,0.41370848,-0.40378192,-0.24602597,0.28713871,1.28255291,4.98544589,1
112,122,114,107,114,1.08795099,-0.86559604,-0.15134186,-0.95234339,2.20857526,6.15433973,1
112,122,115,107,114,1.18003892,-2.84296682,-0.0852157,0.85902331,4.22692112,7.9728849,1
112,122,114,110,113,1.0543534,-3.38709503,0.41095959,1.31485602,3.38943321,7.59601534,1
112,122,114,108,114,1.47142164,-2.95490787,0.71562863,0.99900344,2.36410873,5.1565327,1
112,124,117,109,117,1.92972329,-4.52269351,1.03266769,2.30668099,3.27098849,5.21635327,1
113,124,119,108,118,2.13054523,-4.07279126,1.00899666,2.48135704,3.1980074,4.26281346,1
113,125,120,111,118,1.87413455,-4.40296392,1.18385683,2.71106801,2.53160631,2.13679058,1
114,126,121,114,121,1.89551483,-3.00087548,1.44057295,2.80319168,2.1918255,1.97886429,1
114,128,124,113,126,1.77471623,-3.34158557,1.43095182,2.46460728,1.87597292,0.49052863,1
115,130,127,115,128,1.01449444,-2.3877195,1.01602161,3.37866551,1.49072848,-0.49172504,1
116,131,128,116,128,0.53191091,-1.24173631,0.68936142,3.24466745,1.10668045,-0.46061835,1
116,132,130,117,128,0.35964691,-1.53220273,0.52778757,3.56889491,1.49671054,-0.32183464,1
116,132,131,117,127,-0.07925976,-1.03541658,0.18341229,3.61435854,1.22512517,-0.00119641,1
117,133,131,116,126,-0.06597345,-0.41890084,0.02580906,3.68135757,0.95114698,-0.93080799,1
117,133,129,115,126,-0.01420262,-0.17562376,0.06261369,3.82731975,1.41774739,-1.04925271,1
117,132,128,112,126,-0.09636399,0.13958271,0.0561996,3.95413935,1.98963199,-0.26919254,1
116,132,128,115,126,-0.39828414,0.32742377,-0.06001751,3.76989201,1.83409852,-0.35892339,1
117,131,129,115,126,-0.34345898,0.92393367,-0.09880745,3.88235467,1.2705888,-1.32562372,1
117,131,129,118,127,-0.40408736,1.32420312,-0.09560041,3.78783818,1.41296175,-1.45124691,1
117,132,130,116,128,-1.10337534,2.03586112,-0.31764992,3.49471741,1.61754808,-0.07657032,1
117,133,131,116,127,-1.27884638,2.78630907,-0.67393707,3.56171644,1.52183517,-0.41874395,1
117,134,130,115,127,-1.14353973,3.44940328,-0.78832159,3.60837648,1.43210433,0.43669012,1
117,134,130,116,127,-1.50730998,4.27315506,-0.92317009,2.41076877,1.79461695,2.07577361,1
116,134,129,117,124,-1.39964498,4.01842425,-1.12215944,2.74935317,1.75513538,2.36769796,1
116,128,125,114,119,-1.9598084,4.55415307,-0.86361073,2.34616256,2.17387933,4.4781675,1
114,116,114,111,117,-1.14476146,4.21313755,-0.65515297,0.81714892,2.41076877,5.31206617,1
111,114,107,107,117,-0.6488916,2.56196881,-0.34040465,0.32542387,2.47417857,7.16291445,1
