,delta_ms,prev_delta_ms,gyr_x,gyr_y,gyr_z,accel_x,accel_y,accel_z,f1,f2,f3,f4,f5
0,0.0,0,-0.004887,0.018631,-0.009774,-0.008566304908,0.013172488413,0.046875394734,122,136,132,123,145
1,36.083,36,-0.006109,0.017257,-0.009621,-0.008362914987,0.013052847283,0.046767717716999994,122,136,132,123,145
2,71.772,35,-0.006109,0.016493,-0.009774,-0.008518448456000001,0.013196416639,0.04692325118599999,122,136,132,123,145
3,99.106,27,-0.004123,0.017562,-0.010385,-0.008410771438999999,0.012957134379000002,0.046719861264999996,122,136,132,123,145
4,123.19099999999999,24,-0.004276,0.017410,-0.009010,-0.008458627891,0.013112667848,0.046839502394999996,122,136,132,123,145
5,148.801,25,-0.003971,0.018631,-0.010232,-0.008267202082999999,0.012981062605,0.046719861264999996,122,136,132,123,145
6,172.36399999999998,23,-0.003665,0.017410,-0.009774,-0.008362914987,0.013124631961,0.04677968183,122,136,132,123,145
7,195.183,22,-0.005956,0.016493,-0.010079,-0.008327022647999999,0.013124631961,0.046755753604,122,136,132,123,145
8,218.85399999999998,23,-0.006261,0.016646,-0.009010,-0.0083748791,0.013172488413,0.046707897151999994,122,136,132,123,145
9,243.503,24,-0.007178,0.017104,-0.010079,-0.008386843213,0.013136596074,0.046755753604,122,136,132,123,145
10,267.156,23,-0.006414,0.016952,-0.009774,-0.008386843213,0.013148560187,0.046803610056,122,136,132,123,145
11,291.916,24,-0.007330,0.016493,-0.009621,-0.008470592004,0.013100703735000002,0.046959143525,122,136,132,123,145
12,315.732,23,-0.004734,0.017104,-0.009316,-0.008386843213,0.013100703735000002,0.04689932296,122,136,132,123,145
13,339.619,23,-0.005345,0.017562,-0.009468,-0.008458627891,0.01304088317,0.046839502394999996,122,136,132,123,145
14,363.238,23,-0.004581,0.017715,-0.009774,-0.008506484343,0.012945170265999999,0.046731825378,122,136,132,123,145
15,388.022,24,-0.004276,0.017715,-0.010079,-0.00849452023,0.013184452526,0.046827538282,122,136,132,123,145
16,411.783,23,-0.004429,0.017410,-0.010079,-0.008350950874,0.013064811396,0.046839502394999996,122,136,132,123,145
17,435.969,24,-0.003818,0.017715,-0.009163,-0.008458627891,0.013196416639,0.04663611247399999,122,136,132,123,145
18,459.257,23,-0.006414,0.016952,-0.010385,-0.008315058535,0.013100703735000002,0.046827538282,122,136,132,123,145
19,482.859,23,-0.004581,0.017410,-0.009621,-0.008446663778000001,0.013208380752,0.046683968926,122,136,132,123,145
20,506.53099999999995,23,-0.006567,0.016799,-0.009468,-0.008386843213,0.013220344865,0.046851466508000005,122,136,132,123,145
21,531.24,24,-0.005498,0.016493,-0.010079,-0.008350950874,0.013136596074,0.04681557416899999,122,136,132,123,145
22,558.067,26,-0.007789,0.016188,-0.009468,-0.008386843213,0.013052847283,0.046863430621,122,136,132,123,145
23,582.844,24,-0.007025,0.016188,-0.009621,-0.008386843213,0.013088739621999999,0.046827538282,122,136,132,123,145
24,607.292,24,-0.006414,0.016341,-0.010079,-0.008350950874,0.013028919057000002,0.046791645943000004,122,136,132,123,145
25,635.197,27,-0.006872,0.016646,-0.009927,-0.008458627891,0.013160524299999999,0.046803610056,122,136,132,123,145
26,658.7800000000001,23,-0.006261,0.016799,-0.009316,-0.008458627891,0.013136596074,0.04681557416899999,122,136,132,123,145
27,683.4879999999999,24,-0.005803,0.017104,-0.009163,-0.008410771438999999,0.013232308977999999,0.046839502394999996,122,136,132,123,145
28,707.41,23,-0.006872,0.017257,-0.009468,-0.008458627891,0.013196416639,0.046863430621,122,136,132,123,145
29,731.2610000000001,23,-0.004429,0.017562,-0.009468,-0.008518448456000001,0.013208380752,0.046731825378,122,136,132,123,145
30,755.746,24,-0.004734,0.016952,-0.009621,-0.008566304908,0.013196416639,0.046743789491000005,122,136,132,123,145
31,779.5060000000001,23,-0.004276,0.017410,-0.009774,-0.008458627891,0.013184452526,0.046672004813000004,122,136,132,123,145
32,804.4970000000001,24,-0.004734,0.016493,-0.009316,-0.008566304908,0.013112667848,0.0466600407,122,136,132,123,145
33,828.177,23,-0.005803,0.017410,-0.010079,-0.008422735552,0.013076775509,0.046767717716999994,122,136,132,123,145
34,852.7869999999999,24,-0.004734,0.016341,-0.009774,-0.008434699665,0.013076775509,0.046875394734,122,136,132,123,145
35,877.226,24,-0.004123,0.018479,-0.010385,-0.008350950874,0.013064811396,0.046719861264999996,122,136,132,123,145
36,902.049,24,-0.006261,0.014813,-0.009927,-0.008267202082999999,0.013028919057000002,0.046983071751,122,136,132,123,145
37,925.984,23,-0.004123,0.019090,-0.009621,-0.008434699665,0.013196416639,0.046672004813000004,122,136,132,123,145
38,949.9530000000001,23,-0.004887,0.016188,-0.009468,-0.008398807325999999,0.013172488413,0.046911287073,122,136,132,123,145
39,974.546,24,-0.006872,0.018937,-0.009774,-0.008518448456000001,0.013196416639,0.046719861264999996,122,136,132,123,145
40,998.2189999999999,23,-0.005803,0.016341,-0.009316,-0.008446663778000001,0.013136596074,0.046839502394999996,122,136,132,123,145
41,1022.9159999999999,24,-0.005651,0.017410,-0.009316,-0.008482556117,0.013136596074,0.046719861264999996,122,136,132,123,145
42,1048.146,25,-0.009468,0.016493,-0.009927,-0.008530412569000001,0.013232308977999999,0.046863430621,122,136,132,123,145
43,1073.063,24,-0.000764,0.018021,-0.009774,-0.008398807325999999,0.013256237203999998,0.046683968926,122,136,132,123,145
44,1096.413,23,-0.005803,0.016493,-0.009621,-0.008398807325999999,0.013112667848,0.046827538282,122,136,132,123,145
45,1120.155,23,-0.003665,0.018326,-0.009316,-0.008338986760999999,0.013064811396,0.046743789491000005,122,136,132,123,145
46,1144.62,24,-0.003054,0.017410,-0.009774,-0.0083748791,0.013196416639,0.046791645943000004,122,136,132,123,145
47,1168.403,23,-0.007483,0.017104,-0.010079,-0.008518448456000001,0.013112667848,0.046803610056,122,136,132,123,145
48,1195.206,26,-0.003971,0.018021,-0.009163,-0.008410771438999999,0.013076775509,0.046767717716999994,122,136,132,123,145
49,1219.9979999999998,24,-0.007483,0.016646,-0.009774,-0.008446663778000001,0.013184452526,0.046767717716999994,122,136,132,123,145
50,1244.498,24,-0.007330,0.017410,-0.010232,-0.008422735552,0.013112667848,0.046803610056,122,136,132,123,145
51,1268.1979999999999,23,-0.005498,0.016493,-0.008858,-0.008362914987,0.013172488413,0.046875394734,122,136,132,123,145
52,1291.674,23,-0.007330,0.016646,-0.009468,-0.008542376682,0.013232308977999999,0.046875394734,122,136,132,123,145
53,1315.21,23,-0.005040,0.017562,-0.009774,-0.008482556117,0.013232308977999999,0.046791645943000004,122,136,132,123,145
54,1338.8210000000001,23,-0.005040,0.016646,-0.010232,-0.008482556117,0.013196416639,0.04677968183,122,136,132,123,145
55,1363.384,24,-0.004887,0.016646,-0.009927,-0.008422735552,0.013136596074,0.046791645943000004,122,136,132,123,145
56,1386.3529999999998,22,-0.004276,0.017104,-0.009010,-0.008446663778000001,0.013160524299999999,0.046719861264999996,122,136,132,123,145
57,1410.1390000000001,23,-0.005956,0.016493,-0.009774,-0.0083748791,0.01304088317,0.046755753604,122,136,132,123,145
58,1434.622,24,-0.004734,0.017715,-0.009468,-0.008446663778000001,0.013184452526,0.046719861264999996,122,136,132,123,145
59,1459.376,24,-0.006872,0.016035,-0.009468,-0.008422735552,0.013148560187,0.046827538282,122,136,132,123,145
60,1483.0810000000001,23,-0.005956,0.017410,-0.009774,-0.008446663778000001,0.013172488413,0.046767717716999994,122,136,132,123,145
61,0.0,0,-0.005498,0.016035,-0.010385,-0.008231309744,0.012669995667,0.047030928203000005,122,136,132,123,145
62,31.863000000000003,31,-0.007178,0.016799,-0.010690,-0.008159525066,0.012681959779999998,0.046875394734,122,136,132,123,145
63,62.059000000000005,30,-0.005040,0.018021,-0.009621,-0.008219345630999998,0.012693923893000001,0.046863430621,122,136,132,123,145
64,92.113,30,-0.004123,0.016646,-0.008858,-0.008267202082999999,0.012813565023,0.047006999977,122,136,132,123,145
