,delta_ms,prev_delta_ms,gyr_x,gyr_y,gyr_z,accel_x,accel_y,accel_z,f1,f2,f3,f4,f5
81,491.36999999999995,24,-0.007941,0.015424,-0.009774,-0.009870393225,0.005252245607,0.047880380226,122,135,132,122,138
82,515.371,24,-0.007178,0.015577,-0.009927,-0.009726823869,0.005216353268000001,0.047928236677999995,122,135,131,122,138
83,538.241,22,-0.007789,0.015730,-0.010537,-0.009774680320999998,0.005180460929000001,0.047784667322,122,135,132,122,138
84,562.335,24,-0.007330,0.015577,-0.010079,-0.009846464999,0.005216353268000001,0.047976093129999994,122,135,132,122,138
85,587.053,24,-0.007941,0.016646,-0.009468,-0.009798608547,0.005144568590000001,0.047928236677999995,122,135,131,122,138
86,611.1419999999999,24,-0.006414,0.016341,-0.009468,-0.010001998468,0.005300102059,0.047928236677999995,122,135,132,122,138
87,634.7810000000001,23,-0.008247,0.015424,-0.010232,-0.009990034355,0.005168496816,0.047940200791000004,122,135,132,122,138
88,658.5,23,-0.006414,0.015119,-0.009468,-0.009966106129,0.005371886737,0.047880380226,122,135,132,122,138
89,682.3090000000001,23,-0.005040,0.017715,-0.010079,-0.00981057266,0.00526420972,0.048000021356,122,135,132,122,138
90,705.7900000000001,23,-0.006720,0.016646,-0.009774,-0.009930213789999998,0.005359922624,0.047892344339,122,135,132,122,138
91,729.5970000000001,23,-0.005192,0.017715,-0.009927,-0.009822536772999999,0.005347958510999999,0.048000021356,122,135,132,122,138
92,754.774,25,-0.006720,0.016188,-0.009774,-0.009942177903,0.005335994398,0.047880380226,122,135,131,122,138
93,777.698,22,-0.005651,0.017410,-0.010232,-0.010037890807,0.005240281494,0.047748774982999995,122,135,132,122,138
94,801.687,23,-0.005803,0.017257,-0.009468,-0.010001998468,0.005132604477,0.047784667322,122,135,131,122,138
95,825.781,24,-0.004734,0.018326,-0.009621,-0.010085747259,0.005216353268000001,0.047712882644,122,135,132,122,138
96,849.823,24,-0.005192,0.016341,-0.009163,-0.009930213789999998,0.00526420972,0.047796631434999994,122,135,132,122,138
97,873.26,23,-0.005498,0.018173,-0.010079,-0.009978070242,0.005276173833,0.047688954418,122,135,132,122,138
98,897.123,23,-0.004734,0.017715,-0.010079,-0.010001998468,0.005252245607,0.047653062079000004,122,135,132,122,138
99,921.14,24,-0.003971,0.018479,-0.009927,-0.009894321450999999,0.005276173833,0.04773681087,122,135,132,122,138
100,947.791,26,-0.005956,0.017257,-0.009468,-0.010073783146,0.005324030285,0.047760739096,122,135,132,122,138
101,970.4620000000001,22,-0.003512,0.018326,-0.009621,-0.009894321450999999,0.005288137946,0.047760739096,122,135,132,122,138
102,994.17,23,-0.006567,0.017257,-0.009927,-0.01004985492,0.005300102059,0.04773681087,122,135,132,122,138
103,1018.488,24,-0.004123,0.018631,-0.010079,-0.010001998468,0.00538385085,0.047772703209000004,122,135,132,122,138
104,1042.404,23,-0.007941,0.016646,-0.009927,-0.010073783146,0.005288137946,0.047569313288,122,135,132,122,138
105,1065.816,23,-0.004734,0.016952,-0.009316,-0.009990034355,0.005240281494,0.047784667322,122,135,132,122,138
106,1088.594,22,-0.008094,0.015424,-0.010232,-0.009882357337999999,0.005252245607,0.047916272565,122,135,131,122,138
107,1112.2240000000002,23,-0.005345,0.016952,-0.009927,-0.009834500885999999,0.005288137946,0.047832523774000005,122,135,132,122,138
108,1135.856,23,-0.007636,0.015730,-0.010079,-0.009750752094999999,0.0051924250419999995,0.047892344339,122,135,132,122,138
109,1159.7269999999999,23,-0.005498,0.017562,-0.009621,-0.009954142015999999,0.005168496816,0.047880380226,122,135,132,122,138
110,1184.644,24,-0.007636,0.014355,-0.009927,-0.009990034355,0.005216353268000001,0.047928236677999995,122,135,132,122,138
111,1208.432,23,-0.005803,0.016646,-0.009927,-0.009906285563999999,0.005240281494,0.047880380226,122,135,132,122,138
112,1232.439,24,-0.009316,0.014813,-0.010232,-0.009858429112,0.005168496816,0.048071806034,122,135,132,122,138
